Longitude;Latitude;nome;geometriaa;operaciona;situacaofi;matconstr;alturaapro;turistica;cultura;administra;classeativ;divisaoati;grupoative;proprioadm;cep;pais;unidadefed;municipio;bairro;logradouro;bloco;numerosequ;numerometr;numeropavi;tipoedifro;jurisdicao;concession;CD_MUN
"-35,8949368";"-9,71094613";Terminal Rodoviário de Marechal Deodoro;Não;Sim;Construída;Desconhecido;0;Desconhecido;Desconhecido;Municipal;(1:Outros);(1:Outros);(1:Outros);;;;;Marechal Deodoro;;;;0;0;0;(1:Terminal interestadual);Desconhecida;;2704708
"-35,7256063";"-9,64594242";Terminal Rodoviário de Maceió ou Terminal Rodoviário João Paulo II;Não;Sim;Construída;Desconhecido;0;Desconhecido;Desconhecido;Concessionada;(1:Outros);(1:Outros);(1:Outros);;;;;Maceió;;;;0;0;0;(1:Terminal interestadual);Desconhecida;Sociedade Nacional de Apoio Rodoviário e Turístico - SINART;2704302
"-36,1055218";"-9,77950256";Terminal Rodoviário de São Miguel dos Campos;Não;Sim;Construída;Desconhecido;0;Desconhecido;Desconhecido;Desconhecida;(1:Outros);(1:Outros);(1:Outros);;;;;São Miguel dos Campos;;;;0;0;0;(1:Terminal interestadual);Desconhecida;;2708600
"-37,9887073";"-9,38857139";Terminal Rodoviário de Delmiro Gouveia;Não;Desconhecido;Construída;Desconhecido;0;Desconhecido;Desconhecido;Desconhecida;(1:Outros);(1:Outros);(1:Outros);;;;;Delmiro Gouveia;;;;0;0;0;(1:Terminal interestadual);Desconhecida;;2702405
"-37,7480801";"-9,22695351";Terminal Rodoviário de Inhapi;Não;Desconhecido;Construída;Desconhecido;0;Desconhecido;Desconhecido;Desconhecida;(1:Outros);(1:Outros);(1:Outros);;;;;Inhapi;;;;0;0;0;(1:Terminal interestadual);Desconhecida;;2703304
"-36,7691453";"-9,6182047";Terminal Rodoviário São Cristóvão;Não;Sim;Construída;Desconhecido;0;Desconhecido;Desconhecido;Municipal;(1:Outros);(1:Outros);(1:Outros);;;;;Craíbas;;;;0;0;0;(1:Terminal interestadual);Desconhecida;;2702355
"-36,6232479";"-9,421957057";Terminal Rodoviário de Palmeira dos ìndios;Não;Sim;Construída;Desconhecido;0;Desconhecido;Desconhecido;Concessionada;(1:Outros);(1:Outros);(1:Outros);;;;;Palmeira dos Índios;;;;0;0;0;(1:Terminal interestadual);Desconhecida;SINART;2706307
"-36,3636231";"-9,90067197";Terminal Rodoviário Deputado Ceci Cunha;Não;Sim;Construída;Desconhecido;0;Desconhecido;Desconhecido;Desconhecida;(1:Outros);(1:Outros);(1:Outros);;;;;Teotônio Vilela;;;;0;0;0;(1:Terminal interestadual);Desconhecida;;2709152
"-35,8232051";"-9,602518059";Mini Rodoviária Carlos Gomes Pedrosa;Não;Sim;Construída;Desconhecido;0;Desconhecido;Desconhecido;Municipal;(1:Outros);(1:Outros);(1:Outros);;;;;Santa Luzia do Norte;;;;0;0;0;(1:Terminal interestadual);Desconhecida;;2707909
"-35,9527407";"-9,59085183";Terminal Rodoviário de Pilar;Não;Sim;Construída;Desconhecido;0;Desconhecido;Desconhecido;Municipal;(1:Outros);(1:Outros);(1:Outros);;;;;Pilar;;;;0;0;0;(1:Terminal interestadual);Desconhecida;;2706901
"-36,6459725";"-9,758032435";Terminal Rodoviário Deputado Nezinho;Não;Sim;Construída;Desconhecido;0;Desconhecido;Desconhecido;Concessionada;(1:Outros);(1:Outros);(1:Outros);;;;;Arapiraca;;;;0;0;0;(1:Terminal interestadual);Desconhecida;SINART;2700300
